id,Name,Address
1,0xc58492b3b14f658adff566c988029308505f81b5,PonziScheme
2,0x1ce7986760ade2bf0f322f5ef39ce0de3bd0c82b,PonzICO
3,0x109c4f2ccc82c4d77bde15f306707320294aea3f,MyScheme
4,0x4fb663c1616bfe80b5b6d5a214efa81d5a121801,HYIP
5,0xEA06c9cB0d69058468387F283e9A3f61c53e3C21,EthMultiplier
6,0xa9fa83d31ff1cfd14b7f9d17f02e48dcfd9cb0cb,ProtectTheCastle
7,0xda922e473796bc372d4a2cb95395ed17af8b309b,Resilience
8,0x6846b938f9be9f1eeeb9bfd853636c805f8f54d3,SwarmRedistribution
9,0xf77ac34cd0ed42f2b5d8cfcf4fa0f4bb1b80b9d8,SwarmRedistribution
10,0x8e66ffe69b3f8d78f2a696e40c02f7454c0a01d9,SwarmRedistribution
11,0xf184279e6d4654890b4410cf300ed55600f018be,SwarmRedistribution
12,0x0f170120733474c6ec7daf6ae6aeeeb8b645e92c,SwarmRedistribution
13,0x6adF9E666e3e85876B1Ba25eDB31799FaAd8417b,Free_Ether_A_Day_Funds_Return
14,0x75aa81161e07483f6ca199fef46c13eb13d190be,Matthew
15,0x9d31FF892f984a83e8b342a5Ece8e8911Ed909e0,A_Free_Ether_A_Day
16,0xc99b3615724B7c4d3E4B348Cfc8a25b9E2133828,Best_Bank_with_Interest
17,0x245233BC8604D2097bFCbF3338959C46Da04D9e0,Better_Bank_With_Interest
18,0x99925CC9a57f5E473Ff22314CFE0627A0bfcceb4,Bank_With_Interest
19,0x723dff0e27cc38b80556f5e05dfdbdcb721654d7,DFS
20,0xcd6608b1291d4307652592c29bff7d51f1ad83d7,DepositHolder
21,0x687a241422c92e3d15ce6a02c832f800b74c8b3c,DepositHolder
22,0xF1c1648f6F0EdbCF7d898441b88E489CfaAce11D,Tanya
23,0x143E8bD26D95b230680C25300F93eF56F86eCCAC,Tanya
24,0x7d3ae940eb73dc9131758ad2e326c7d863b0916a,Doubler
25,0xA26B0a2fc7702ac3cDd4d578Df7ef87ecF17908E,BigRisk
26,0xf93CA51746cE6e1cc2485C534EEBe71AE987a7aD,Kardashian
27,0x8f13a1d43408b6434dd10e161361386f3952d665,StackyGame
28,0xfeeb8A968F0d7FD58E29FBfC525051f50eE2FeDC,Etheramid2
29,0x83651a62b632c261442f396ad7202fe2a4995e3a,LittleEthereumDoubler
30,0xC357a046C5C13bb4e6d918a208b8B4A0aB2F2EFd,EthFactory
31,0xF767fCA8e65d03fE16D4e38810f5E5376c3372A8,LuckyDoubler
32,0x294308484F47Ff5a833a284ac6949Eb02728FbE4,ShinySquirrels
33,0x870FE80e76DaE4a4c12690dEc52456ab13176202,ShinySquirrels
34,0x422f8015c5d8168edee923749701360a8a4d0703,fresh
35,0x8d734806913E445EE1Be523Aa0e84e4664FfF481,ProtectTheCastle
36,0x9758da9b4d001ed2d0df46d25069edf53750767a,Etheramid
37,0x1bb6123913d0b48948de38c3b75fd3eb3b4fe7e3,EtherAds
38,0x9f1d916a456b96146e9f0dbbd0e107a1f389a061,NanoPyramid
39,0xe7f06E64E0D04C6cfEDF7e9079D56d0fB7200a2E,MultiplyX10
40,0x8ea6c8077d6316b46e449aec8fb60a606cf50eea,squareRootPonzi
41,0x51170b18bcA7896B49c52Dcc18E66e5C921e100F,CrystalDoubler
42,0xcac337492149bdb66b088bf5914bedfbf78ccc18,theRun
43,0x49c3019b7a83b3c77a823255533975969027308d,SmartRevshare
44,0xBa69e7C96E9541863f009E713CaF26d4Ad2241a0,SmartRevshare
45,0xf1aa63ad7a897ca02cab6021513ee0a86820153e,EthVenturePlugin
46,0xe4C1c33ed635263c61bF61dB751b8A74ee3AF0e4,WealthShare
47,0x3e84512f277A5081B9209831C51bCe665035D9DB,TheGame
48,0xa864694cacdf27900afb3c32b1b07aea3c465dde,timegame
49,0x0389a06b028526b05966c287370bebefa0082176,Dividend
50,0xa0f9fb2170dc2d181ef8aaf3571dc441813e0154,DividendProfit
51,0x4398a4a10347d8f18029c07853a7a689eebbb925,timegame
52,0x7fcc7ed28c99f64f721be410ad816247925aade8,timegame
53,0x78d4f849aab2b0a5a66f76b9b1ff47da5a9ae492,DividendProfit
54,0x062524205ca7ecf27f4a851edec93c7ad72f427b,FirePonzi
55,0x2a53F42aD8BbA138C21b50a4e5711f18381A61E9,BigRisk
56,0xe19e5f100d6a31169b5dcA265C9285059C41D4F6,NanoPyramid
57,0xCaaCA224e35D0a1Fa3304a3C4eC8beb5F28A99Aa,test
58,0x60Acd43314d93F38507F3fd12E84225a5a099229,EthBank
59,0x02B2101903eB6a51518E63e84B785180859FDa9d,thewhalegame
60,0x1492cdd605d91658f228eab14d8444b60e6da8df,thewhalegame
61,0x26C4E381FfbDc825Be9B986c3BA40525f0771E8d,Coinflip
62,0x56467e038871dc7f2a6180cdebe1702cef77285f,NiceGuyTax
63,0xfba6ae30dfe97b20ad9ecccd5057ab3e5a1c41fa,NiceGuyTax
64,0x9d3899df1d9f030a32dd5571fe3c7ef72d6ae566,NiceGuyTax
65,0x750241c16c9fb878a7afd2b07b80f53e02c3f634,quick2
66,0xEe462A6717f17C57C826F1ad9b4d3813495296C9,EthVenturesFinal
67,0x41F2d5040726C5328f8366F17041ec012aC8f338,EthVenturesFinal
68,0x007d42b9192b8C087b0D3E6ef73AAE48E74b41c1,EthVentures4
69,0xd12d8F8dFa54F1578B2177F99B2e282367b66B13,doubleyour5
70,0xa83c4a6d0418074655bdbe74fed8435c46c19f66,fairandeasy
71,0xf70ce1be9685b0cfb531bc712d3faace858b5bfb,fairandeasy
72,0xb5aff01f3e820735fac9abb594dc9993cb9e5bd2,TheGame
73,0xba3048b17d1e8c1412ea29af9af795786065b5f9,copypaste
74,0x43e49c79172a1be3EBb4240DA727c0DA0FA5d233,EthVentures3
75,0x1FF3f56609d0771abb49566600fEBADE0E708BeB,EthVentures
76,0x99d982e49bcb5465a6b4c1e0ec4341c912d9ba42,EthVentures
77,0xbA6284cA128d72B25f1353FadD06Aa145D9095Af,Ethstick
78,0x1aFd952269873FE009C7BDFF5f07Fd91605a7227,smallponzi
79,0x9D5BdAa9d82782c03402dD5c675aE3E45B3102e2,smallponzi
80,0x258d778e4771893758dfd3e7dd1678229320eeb5,ResetPonzi
81,0x1368e088682b3ea455c4856297365542ca6828d8,ResetPonzi
82,0xe861ad00aed0f04b41c675ec1c1493d2ebcbe776,ResetPonzi
83,0x09515Cb5e3aCaEf239Ab83d78B2F3e3764FcaB9B,BalancedPonzi
84,0x55d035Ba1F4Ae932Cf98125b93D830d9858cd39F,BalancedPonzi
85,0x275498d1fb7ffb5b521f89b23c84224af9f96ea6,ResetPonzi
86,0xebfed9e4ae035b0f7ae982d1a7abfe0aa26a0341,ResetPonzi
87,0x772cba2f87f92e95bb8ffa96187bbedebbb484d3,ResetPonzi
88,0x0444f06a52320af2df7e60d1923080002838ce93,ResetPonzi
89,0xb1d58bad78f33892719cdeba218f8641a71a3f05,ResetPonzi
90,0xBe46324018124B2d604c2f3eaE91D3De9b388b09,RobinHoodPonzi
91,0x3ab274f835d1939d20d0bbb72a1fb513d7a7a675,ResetPonzi
92,0xe1388626C8dE5Fd7E5683A83d8da6a34153e9B18,NiceGuyPonzi
93,0x37b53b46fa74ac3f9b4340dc5a39aabb0f2afa33,fivetimes
94,0x4028b9672bfd71ba2fcd97a6c82e06f72eaa14ba,theultimatepyramid
95,0x428Da5ff72D8Be0EfAa85336B6c6A9fC9E0F73fe,NiceGuyPonzi
96,0x0f26c26318872e8fa85dee5d30cba45ed53b3d3e,theultimatepyramid
97,0xf835b307bc5348194ae01ed729170c84217ba688,newponzi
98,0xf243688304fa4f6c6efadc22b9c1dd009aa76650,Send1Get2
99,0x89c2352Cb600df56fe4BFB5882caAdEF3E96213f,TwoAndAHalfPonzi
100,0x9da7902394fb19ddd340d47398d35e3405bf79ec,x15
101,0xa379bbdd0af814502eb9b38d475c7fa7411bb4ec,quadrupler
102,0x4229a873bbd207deef8f41e807e563c26033d118,triple
103,0xcff9cb72d19c10df754ae7be6d280e379cdb2354,quick
104,0x16A4ff536001405f2B0d7ddAfC79f6A10D024640,plusOnePonzi
105,0xa850E6f693B9bCB31df3eE44e7888EF19E608107,plusOnePonzi
106,0xa259e6bcade86c770cb5214c789ee107662831a6,CrazyEarning
107,0x80D9C4F6209044De069c545f68644419b520a02F,The10ETHPyramid
108,0xf7070fc72e2b92c6309785a39338d7c919a3cf4a,NoFeePonzi
109,0x4668cd871eba35997e1fbe66d0eddf6612d018ce,The10ETHPyramid
110,0x5a437D94843541d5cB83221a4A4B253dE30B97b7,NotAnotherPonzi
111,0x43bbc7fafb860d974037b8f7dd06b6f6fe799b3e,ZeroPonzi
112,0x49f053B866c33185FA1151E71fc80d5Fe6b08a92,FivePercent
113,0x7894ccf2997c8c89a80b86faa012d09d53ed48b9,thesimplegame
114,0x5e84c1a6e8b7cd42041004de5cd911d537c5c007,Goodfellas
115,0x3325439082FF8ba7371DFdAa1AF297bBfcAc21b2,WealthRedistributionProject
116,0x316201F586706aAa2795bC2a3F0BAd2379c363e4,FountainOfWealth
117,0x1213c29b5e1a6f33e0d044f850a57b665e3cde21,LittleCactus
118,0xfD2487cc0e5dCe97F08BE1Bc8eF1DCE8D5988B4D,Doubler
119,0xfE3672Eff595CfD36eD05aaf4622d1Aec3B5E852,FastRealisticPyramid
120,0x19a6067538c90973eF5dC31Ded5Fa567f3d09059,FastRealisticPyramid
121,0x24ec083b6a022099003e3d035fed48b9a58296e5,Tomeka
122,0x446D1696a5527018453cdA3d67aa4C2cd189b9f6,GreedPit
123,0xbb9854BFD082c48B4D426aC6A2a152B01326f46F,X3
124,0x4865E85C72a27cA6c362DA75BA6707C07464B953,TreasureChest
125,0xbE181DA06D93867af0A3ffaDcEbe345Ec35daE4e,PiggyBank
126,0xa502f8112b2491718855f01a01a60462cc97a0d5,UfoPonzi
127,0xe82719202e5965Cf5D9B6673B7503a3b92DE20be,Rubixi
128,0xa9e4E3b1DA2462752AeA980698c335E70E9AB26C,DynamicPyramid
129,0xF45717552f12Ef7cb65e95476F217Ea008167Ae3,Government
130,0xa39fcB48AdF288F143459d57A1A0756718C919Ae,x15
131,0x7D56485e026D5D3881F778E99969D2b1F90c50aF,ProtectTheCastle
132,0xdc84953D7C6448e498Eb3C33ab0F815da5D13999,Doubler
133,0xdcb13FA157eeBF22dDC8C9aA1d6E394810De6FA3,PiggyBank
